city,location,text
houston,Houston,RT @TreeVeneration: I'm guilty of this. https://t.co/l2m4FTe9q9
los angeles,"Los Angeles, CA",@Canseco_PL1 Heeej
dallas,"Dallas, TX",RT @thatonebria: Make him think you leavin. Show him what life is without you. Let him suffer. Then fix that shit cause you promised…
houston,"Houston, TX","RT @billboard: Jhene Aiko's older sister, @MilaJ, on her \"Scorpio fashion sense,\" Playboy photo shoot &amp; her love of @SZA…"
houston,"Houston, TX",@Ant_0630 NIGGGAAA
new orleans,"New Orleans, LA","RT @NiinjuhZ: I do coke
So i can work longer
So i can earn more
So i can do more coke"
los angeles,"Los Angeles, CA","RT @AdventurePIaces: Zion National Park, Utah https://t.co/D3N2RsEha1"
atlanta,Atlanta,-  https://t.co/fPRD1g3g2c
los angeles,"Los Angeles, CA",@ANTXN7 ❤❤❤
houston,Houston,wade went off https://t.co/49W4r2ajqU
houston,"Houston, Texas",https://t.co/tUh7xSKBWq
new orleans,"New Orleans, LA","RT @morow4_: A haiku:

White-supremacy
It exists moron. Fight it..
Or I will fight you."
houston,"Houston, TX","Sometimes more, sometimes less. But on average, I've drank about 2 a day, everyday, for the past 8-9 years. Do the math lol"
chicago,"Chicago, IL","RT @BleacherReport: Jimmy really gave out his phone number at the press conference 😂

(via @NBATV) https://t.co/LUzbRUhSSH"
los angeles,"Los Angeles, CA","RT @KevinNR: LA County has more people than 43 states do. You put that together yourselves, or do you have a team of monkeys wor…"
atlanta,"Atlanta, GA","RT @MaximMag: China hosted a 'Women's Beautiful Buttocks' competition, and we've got the pictures to prove it.…"
chicago,"Chicago, IL",RT @_TheKING_T: When she starts using your slang &gt;
chicago,"Chicago, IL",RT @NintendoAmerica: Dawn of The Final Day. https://t.co/kadt9juVIY https://t.co/z0SKZRuEUT
chicago,"chicago, il","RT @OgDaize: For everybody that didn't make it to today's call casting, you have a 2nd chance this Saturday‼️ Make sure you atte…"
los angeles,Los Angeles,"Between @paulscheer guesting on @crookedmedia &amp; Manzoukas guesting on @WTFpod , @HDTGM is taking over my podcast feed and I love it!"
los angeles,Los Angeles,RT @thatgirlhas: Grateful for community that shows up.
new orleans,"New Orleans, LA",Any of my @NCPH colleagues know of a foundation or organization that looks to fund internship opportunities? #ncph
miami,"Miami, FL",#NowPlaying La Bola by Manolin https://t.co/g8b8UX2opw #sandunguera
atlanta,"Atlanta, GA",RT @MiguelB_94: L-A-T-I-N-A-S https://t.co/lXrWPfKmt4
los angeles,"Los Angeles, CA",RT @commondreams: 'Victory': Irish Lawmakers Ban Fracking - https://t.co/FNwfJ1osvr #IrelandBansFracking
houston,"Houston, TX","@JuddLegum @alaskarebel One thing you can say about Sarah Huckabee Sanders, he's definitely dedicated to his boss..."
boston,"Boston, MA",https://t.co/KNj91cZYMG
detroit,"Detroit, MI",RT @Rockies: #NolanBeingNolan: https://t.co/xLyooDocLh https://t.co/uTq58MRNN9
atlanta,"Atlanta, GA",RT @OctaviaOnly: ..This Husband Has Lost Confidence So He Installed Hidden Cameras What He Found Out Left Him Speechless https://t.co/KxZmy…
los angeles,"Los Angeles, CA",WTH? https://t.co/xdU0i5psLq
new orleans,"New Orleans, LA","Nós dois, se amando sem perder a liberdade Vou escrever nos muros da cidade Que o nosso amor ninguém vai apagar 🎶❤👭"
philadelphia,"Philadelphia, PA",RT @Acculturated: John McEnroe is Right About Serena Williams https://t.co/XGdVGr0nqF https://t.co/8B0odNT4cf
philadelphia,"Philadelphia, PA",Yousef Almusallam💙
detroit,"Detroit, MI",Driving home for lunch is great because you get a fun drive for 9 miles in less than 15 mins compared to this garba… https://t.co/fn6PtzL2SM
seattle,"Seattle, WA",@CillizzaCNN Strong.
dallas,"Somewhere near Dallas, TX.",RT @redsteeze: This ends with a shirtless face painted joe Scarbough clinking glasses against the White House fence demanding Donald come o…
los angeles,Los Angeles,"RT @SethAbramson: Trump has now spent more time talking about Mika Brzezinski's \"low IQ and bleeding facelift\" than defending us agai…"
houston,"Houston, Texas",#Kaboombooks #coffee and #calves https://t.co/OfJUVILp3r
seattle,Seattle,&lt;&gt;  https://t.co/F8uZnHeNxB
boston,"Boston, MA","RT @DikenComTr: Açlık grevindeki tutuklu eğitimciler Gülmen ve Özakça için AİHM’e başvuru
https://t.co/DySaLlOrGt https://t.co/nUJn7Y6VPz"
chicago,"Chicago, IL",@NJBeckstead @SarahHuckabee She's essentially KAC's surrogate now since they don't trot her out as much. It's disgusting to witness.
chicago,"Chicago, IL",https://t.co/ot4oy0i1rD
los angeles,"Los Angeles, California",RT @samwhiteout: I'm so used to see videos of police violence that I was nervous the cop was gonna stab him tbh. https://t.co/3p4xnmVuzh
atlanta,"Atlanta, GA",RT @xblvckdiamond_: mansion elan gone be littttt 4th of July .. seems like issa movie 🎥👀🤷🏽‍♀️
atlanta,East ATLANTA Zone 6,RT @xblvckdiamond_: mansion elan gone be littttt 4th of July .. seems like issa movie 🎥👀🤷🏽‍♀️
houston,"Houston, TX",@Juliog004  https://t.co/t3KQtCvvjZ
seattle,"Seattle, WA","nothing too special 

#ootd #streetwear #style https://t.co/jYVGuWfdts"
dallas,Dallas,@MatteoLane I have Birthday 🍆 if u want.
los angeles,"Los Angeles, CA","Know and understand that there will be challenges and difficult times. Don't try to avoid them, but let them mold you into a better person."
los angeles,"los angeles, ca","RT @charlie_simpson: a floor debate *is* long overdue

but how the foxtrot did this happen? https://t.co/wErV2QOxPH"
denver,"Denver, CO","RT @anotbok: 24K GOLD FACE MASKS 👑

Remove Blackheads and Acne 💪

FREE Worldwide Shipping → https://t.co/5hzgrnlHia https://t.co/JPBGuwPoLP"
detroit,"Detroit, MI","RT @anotbok: 24K GOLD FACE MASKS 👑

Remove Blackheads and Acne 💪

FREE Worldwide Shipping → https://t.co/5hzgrnlHia https://t.co/JPBGuwPoLP"
atlanta,"Atlanta, GA",RT @kristen_sarver: More than 12 hours of sleep https://t.co/7ZqBLYdHIt
chicago,"Chicago, IL",Imagine Dragons – “Believer/Thunder” Live https://t.co/09358xRH2x
detroit,Detroit Vs. Everybody,RT @mefeater: Zendaya at the premiere of 'Spider-Man: Homecoming' 💕 https://t.co/WQmv1lhx70
los angeles,"Los Angeles, CA",Help fight climate change and expand renewable energy! Tell Nevada’s @GovSandoval to sign #AB206: https://t.co/gsm3gaQuHp
los angeles,"Los Angeles, California",RT @RELATlONSHlP: i think a guy fighting for his relationship and showing his feelings is more attractive than someone who act like they do…
dallas,"Dallas, TX",@Indianadelae I'll still have that ugly scar!!  Lol
chicago,Chicago,What exactly is goals here? https://t.co/goI8XhYBlZ
chicago,"Chicago, IL",My nigga a rocket now oh man https://t.co/z3bcjjD3sA
chicago,"Chicago, IL",.@HariZiyad Why not address what is really holding LGBTQ black people down: churches and the bigotry they promote within AA communities.
dallas,Dallas via LA via Dallas,RT @LaverCup: There’s everything to play for when #TeamEurope takes on #TeamWorld at #LaverCup in September. Not least the magnif…
atlanta,Atlanta,-  https://t.co/BEp7Ny7Isf
boston,"Boston, Massachusetts",My parents bought a summer cottage in Maine this week and I finally know what it feels like to be a rich white kid from the suburbs
chicago,Chicago,RT @larryislegend: Sometimes you can smell the South Holland on a chick.
seattle,"Seattle, WA",And @LinkedIn title is in Greek today - marketing campaign or hacking? https://t.co/MxJyKw1cJM
los angeles,Los Angeles,"@ProgRockers Shhh, don't tell anyone, but that's the best Yes album post-Relayer."
seattle,"Seattle, WA",@ABTeirusu god it looks awesome! lol
atlanta,"Atlanta, GA","RT @bniceloco: \"But you only ordered a 6 piece\" 😂😂 https://t.co/9TYTU7d6nC"
los angeles,Los Angeles,"DOE assumptions about grid reliability \"nonsense.\" US solar falling behind  @CoronalEnergy @SEIA  @greentechmedia… https://t.co/5t0VNFtkV7"
los angeles,"Los Angeles, CA",#Song I Made It by Keith Johnson &amp; the Spiritual Voices #np https://t.co/qNmtmKjQ1n #Music #Gospel #RylGospelRadio
dallas,"Dallas, TX","RT @HYPEBEAST: Here's the London pop-up location. 🇬🇧
https://t.co/Oy8Hddr0U7"
